day_of_week,hour,weather,event,travel_time,road_condition,accidents
Friday,20,Cloudy,Sports,55,Good,0
Saturday,14,Snowy,Concert,33,Moderate,0
Tuesday,15,Snowy,Concert,38,Good,2
Wednesday,4,Sunny,,21,Moderate,3
Wednesday,19,Snowy,Festival,47,Bad,0
Sunday,5,Snowy,Sports,47,Bad,4
Saturday,18,Snowy,Festival,57,Good,0
Thursday,4,Rainy,Festival,20,Moderate,4
Tuesday,2,Cloudy,Festival,6,Good,0
Saturday,0,Rainy,Concert,38,Good,0
Tuesday,5,Cloudy,,59,Moderate,2
Tuesday,14,Sunny,,12,Good,3
Tuesday,1,Snowy,Concert,17,Moderate,3
Saturday,2,Cloudy,Concert,46,Good,2
Sunday,16,Rainy,,12,Moderate,0
Wednesday,23,Snowy,Festival,34,Moderate,3
Wednesday,11,Sunny,Sports,36,Good,1
Sunday,17,Cloudy,Sports,40,Bad,3
Tuesday,14,Cloudy,Sports,51,Bad,4
Thursday,11,Cloudy,Festival,34,Bad,0
Monday,15,Snowy,,5,Bad,1
Saturday,7,Rainy,Concert,47,Good,1
Monday,13,Rainy,,43,Bad,1
Sunday,16,Cloudy,Festival,21,Moderate,4
Thursday,20,Sunny,Concert,24,Good,4
Saturday,7,Sunny,Festival,28,Bad,2
